SubjectNumber,Age,TD_Alpha,TD_Beta,TD_AIC,TDRS_AlphaPos,TDRS_AlphaNeg,TDRS_Beta,TDRS_AsymmIdx,TDRS_AIC,Util_Alpha,Util_Beta,Util_Rho,Util_AIC,FourLR_AlphaPos,FourLR_AlphaNeg,FourLR_Beta,FourLR_AlphaPos2,FourLR_AlphaNeg2,FourLR_AIC
1,27,0.23738111708932,2.73077787590901,144.516130494733,0.578842505335135,0.162882308596782,2.25824519520722,0.56080124181545,140.903774468713,0.316433235428231,2.75355745097081,2.5,140.388150262019,0.647157675706235,0.246567010940199,2.29745585992368,0.483275965204234,0.201330012912162,145.357540606395
2,12,0.528325526817209,2.87587822588585,135.596204857606,0.227491007695291,0.604963542619388,4.91346878029966,-0.453445217857728,125.048957843363,0.497781993324391,3.02204713221601,0.555985606287667,131.984449647098,0.213446306492433,0.557820340178505,4.78052735171629,0.291282811819428,0.705433009964837,128.613957193439
3,19,0.331241309580571,0.932449232846138,152.341677730588,0.0682874831647411,0.624722562368047,2.53048146446046,-0.802924983252612,143.519086945694,0.141054578816527,2.79039072954294,0.0725283184930199,130.605883416101,0.0864287589107364,0.335851253747671,2.78062737673705,0.09308159592172,0.673658293229074,146.851683600983
4,11,0.280005968222089,5.16209426510503,124.144659854923,0.735605381706716,0.194576267633582,5.20260558275633,0.581638128914758,100.97608259467,0.290514063025424,6.21322864107353,1.68293184545547,112.449599368935,0.792793683986271,0.208982732835907,5.49067701664688,0.455641871414318,0.191346897334467,104.112735617624
5,12,0.198011172077642,5.21705142140815,128.712082735773,0.296740232071665,0.221847267280144,4.47900803822597,0.144417219630498,130.440044827745,0.199329242375934,5.19422632194295,1.01837274306068,130.710879164863,0.241435301005961,0.354703998355061,4.7618816243177,0.682536642320684,0.175219194019395,130.804196324922
6,23,0.147604720626437,11.711766659715,90.8009550999551,0.14709245807672,0.15678390103669,11.8777390869723,-0.0318927177758943,92.6098228491227,0.137211895730116,12.506784382422,0.931134447493133,91.8929903186575,0.147497299507731,0.143057849788008,10.730913051175,0.170164511180572,0.220206514791913,96.5465901921695
7,10,0.0803571133965742,7.99138872462896,118.760588606235,0.210398486391625,0.0982859601041189,5.2746558552243,0.363194607179704,117.3085773066,0.08052064476071,7.51218024496354,1.33899820751873,117.769617126156,0.340711626322359,0.102111959018177,4.00516284113498,0.459668304418028,0.209854294450142,122.623322579063
8,22,0.469256186920435,0.935085993373754,153.144903260836,0.0912725553558264,0.382246466416051,2.28437981031736,-0.614492549784841,149.335984384732,0.0760376148633965,2.78288524092196,0.128525385967844,140.502033477642,0.289332850833877,0.646959852697403,2.12859808415467,0.104006433668454,0.492542859632401,153.699666761804
9,19,0.160900937116351,5.97188204628878,123.806651103542,0.14261148299391,0.182627555241637,6.50537331793665,-0.123035882976467,124.489250876259,0.153365085276091,6.41030442877936,0.845509059023162,124.335486684105,0.187622280740431,0.221791407066514,5.92927329214859,0.165261810288509,0.226988658940541,129.629169492807
10,16,0.224723195171051,6.32528164972228,114.293993525596,0.175167572698742,0.289713150181206,7.61777031134601,-0.246397778709451,109.872618588245,0.199635659649993,7.89137575653904,0.626474214712656,105.172958730846,0.238262109157138,0.142038928657143,8.50488281356942,0.0712928849190281,0.536209563294967,102.278469123299
11,10,0.239947301421615,4.33174550374164,133.199330404108,0.19119797428912,0.28935775038029,5.10452337318991,-0.204263045994713,132.393392637244,0.208556907192233,4.6996749858793,0.824421618944055,133.801833161081,0.213256161820908,0.369057705260601,5.19189543688854,0.197509313153474,0.241291114923431,135.760981396869
12,25,0.126150573025897,6.83414515155515,122.104261765224,0.132725911331099,0.14228206561514,6.74267180069562,-0.0347486439853684,124.230338460575,0.115919476935509,7.33575912286433,0.900497469770547,123.263616061468,0.210092445688655,0.192373978008888,5.79615262454403,0.154472806386918,0.17997156974005,129.845422027246
13,14,0.112647980241523,3.54176326634414,141.250423446283,0.708260526826539,0.0864124525003709,3.08076137581932,0.782520722993344,126.844005830405,0.104807067438569,4.37541489569416,2.00260935111376,131.440114720905,0.676527301165584,0.0745597657284832,3.0410322215671,0.587073121506903,0.13469374602895,131.246259883348
14,27,0.204135270795101,2.42582256139875,147.895888186862,0.087721713930499,0.339768505907935,4.6879805398926,-0.589596627667166,132.784671166918,0.096165834824408,4.98576954811911,0.411337015903435,133.52270223916,0.220794546769021,0.504417915673333,4.5630311359845,0.0554844218861895,0.511168551464206,134.914348786977
15,8,0.0460761264406893,5.18239671794656,140.198363747838,0.143725879988384,0.0481530785084237,3.13741629351313,0.498089015224411,140.693421097156,0.0568010583616681,4.43811465408879,1.64225257574144,139.816035037849,0.447602724510601,0.0698742826368731,2.26153256898754,0.348908330617424,0.488067400275281,146.226314034098
16,27,0.549759648732046,3.29637062693449,133.440809749833,0.0445890515531564,0.371352563398848,15.2387727374246,-0.785599469010565,51.1370480545914,0.110392495510529,11.8870856666845,0.179489274753752,52.3463978447774,0.0916069047624531,0.497591235833791,16.8686683797806,0.035080634440969,0.191576227315828,49.392505803367
17,9,0.151111770480092,2.57687720625028,147.100595396712,0.235351507699023,0.191464464382014,2.12914689487305,0.102824276005952,149.64216950657,0.151946546043953,2.60718605877255,0.756388584355802,148.55967290815,0.593549685841408,0.482234166218838,2.63097673317317,0.094978249256406,0.16115757018594,146.356614302813
18,13,0.439373716379244,3.89716943951539,129.574512172895,0.165741767557013,0.365741110098383,5.62684564584852,-0.376304394647021,122.830252298298,0.215478092020426,5.31569544174163,0.495653463977535,118.771842965535,0.274388226470393,0.504366885870927,5.35190521230443,0.171047639240564,0.319461876487897,126.302844169778
19,9,0.152934627880416,5.11790313872958,126.757947750503,0.247560237969526,0.216641435762652,4.23569015873247,0.0666063996673835,129.922783528855,0.145353708022913,5.32119624425489,0.929290738393554,128.480386970039,0.495098524790312,0.342111747753632,3.20757318772423,0.545262963331074,0.40966434403348,135.291448895441
20,17,0.518633157235826,1.9868229928168,145.727368346293,0.0625251866358927,0.576899436320576,11.3809401502219,-0.804432971796429,66.4805735881041,0.187981466419951,9.06883222419199,0.194640973922409,64.7925062788022,0.101396401939508,0.796256535200565,16.148348757738,0.0563651503966922,0.129081931766768,52.8598082347007
21,20,0.286934900022948,3.26877280102837,140.297606449975,0.14509183635064,0.406489068535377,6.42267340409089,-0.473905513895109,121.90143131226,0.224237607219093,6.33695369368277,0.406104475012943,113.204421845585,0.0893052616512511,0.409460005474411,6.43270228397417,0.282094221042057,0.505837937950043,123.280151435033
22,8,0.30765119492925,6.99260728647696,101.143289715307,0.350743879805667,0.305712663846712,6.6345419749232,0.068597405866977,103.033317148847,0.311474610335495,6.94732701939275,1.04168208250053,103.108837674777,0.339704558536758,0.306367529833431,6.50281119561651,0.445306106652001,0.436360812302829,106.525610031739
23,26,0.222240834033998,4.4734404748873,129.959314186495,0.0729469285854205,0.163830735700984,8.51658432754664,-0.383836065743225,116.231144114411,0.0868461865555951,8.8276816335749,0.598628516466151,118.173966580006,0.0692954130638201,0.29771545856879,9.50973499725743,0.159530514418115,0.0832772360810908,114.051691141808
24,11,0.121166096229574,10.8410144995549,100.094014778554,0.152346557044198,0.129785870887965,9.66912181596422,0.0799648814621794,102.249456467577,0.123525512330645,10.6347901486341,1.03739900362683,102.115366202704,0.217332120990844,0.0984194801132204,9.00116674458216,0.0812058726689412,0.261591269414348,101.695094320247
25,24,0.272877658123437,0.954392526704018,153.416439679321,0.0249777177594888,0.711242563938749,8.13156867031686,-0.932146075351598,84.1998314159733,0.133032780561886,8.44575004180917,0.0414461309151964,67.2139212636265,0.0368724264349174,0.610810712162813,8.36807278561154,0.0363774970142823,0.729438127689385,89.072464640856
26,18,0.42705743947772,2.52007027955279,137.375788360903,0.059682543218975,0.545774416068549,13.1935089662542,-0.802851243830092,55.4085433707891,0.181082383502621,9.71544598319683,0.170003131047183,55.3681131114944,0.0731154471980023,0.460102476919231,13.4336645355346,0.0630785901076078,0.61046311315758,58.9718090488471
27,18,0.75734267083897,2.22235483663577,140.85034164723,0.308617409376116,0.735551579625704,3.66476713521815,-0.408874592854667,135.083335335732,0.717414028782797,2.56784218764818,0.157690265621768,120.728192480685,0.279595147799718,0.746491707541426,4.06812932381159,0.24170867344849,0.214472015796094,136.117028172227
28,20,0.366163133049689,2.27906007283591,146.702945843869,0.0613284336157214,0.337644513065602,7.22453314129571,-0.692568460464027,109.223638044298,0.0873876454814525,7.28936050238147,0.229238624864527,101.597691527343,0.0715919072405437,0.472051703887262,6.92658604861744,0.108487843667999,0.408868462520934,114.226163667381
29,17,0.570256322006016,1.21722297886991,151.268062039887,0.0461998599937424,0.522219316440156,5.26433862369097,-0.837444400508838,117.349621907014,0.0824054681260797,4.72667092650686,0.150441254479714,120.633080700353,0.0852301647472844,0.48199238495984,5.34207730588472,0.0504202560712243,0.600635208873186,121.804240848604
30,21,0.876803727975436,2.92796918670359,128.187900534603,0.148048407727972,0.603218611426179,8.55052323049757,-0.605870072947806,91.4969080589864,0.166374295873144,8.37805362814661,0.337386090380169,90.5521608985975,0.309637590077272,0.414972366972694,9.64244428916486,0.084460237356396,0.824408316186651,84.5510888025152
31,14,0.264481437611871,1.57237663502327,151.067628504394,0.0943113094218806,0.0105088807919244,3.562078930512,0.799487469532556,142.122532638066,0.0485492050617046,3.63207436483078,2.5,144.03850165148,0.425831873590172,0.174090623822452,2.06069855729871,0.132503896615773,0.505075652761306,152.443287038229
32,16,0.725227113116517,0.798424164544402,150.233738961228,0.040858777374304,0.651771821720693,4.16315536076468,-0.8820185610405,123.010624442787,0.282218585574902,3.23215209957045,0.0275986019322901,107.797904227266,0.155827469046699,0.560779782631972,4.28988750072626,0.0368132481468126,0.712573492708414,127.16787823425
33,17,0.217618418015875,3.04585072887752,141.591358900914,0.157566529337299,0.318711795081606,3.86704013889041,-0.338342640179809,139.708578517414,0.203431207259032,3.35070594040876,0.610803919443248,140.23693071081,0.150359630634702,0.113892392887021,4.32046832961668,0.124429842535383,0.485299854052122,136.565274724556
34,15,0.879575051476722,1.9295484113873,142.481601612101,0.0530086753738453,0.598485509277562,10.3509886939837,-0.837270457288246,75.4059581856074,0.219130503232273,9.66338825721956,0.0963013272900904,55.1360659149013,0.082876343675556,0.045429686100573,14.5487146872708,0.0314846074795789,0.608915670008776,67.4319187469968
35,21,0.60384513174625,2.02664360395147,145.454165718419,0.597472807067701,0.570623883599277,2.0391900719292,0.0229851892252975,147.487353913243,0.603335534095159,2.01286843504826,0.952780165303747,147.448181571531,0.687494568333463,0.460402932037321,2.06033710843059,0.42444123849406,0.614983422352029,150.563079553224
36,25,0.364140350874901,1.63503587458389,150.034947326977,0.200971565078285,0.435517063118168,2.41427036523648,-0.368499117893887,149.198730990821,0.210862850869016,2.31868438833811,0.356910111641608,144.710038319953,0.300812492691274,0.587203056734866,2.16450677621815,0.268083134088766,0.405940404939919,153.596405256954
37,21,0.066635801324985,4.68544837479023,139.79054111518,0.504147026793311,0.0574428973243282,2.7002245578103,0.795427607022752,133.65999420598,0.147587329640188,3.7596657799335,2.10192717743866,134.183469086929,0.422085868719804,0.0944379152497535,2.60867800806027,0.625164675050999,0.134504052789107,139.212186140171
38,9,0.323129139161279,3.48971342968916,137.909882268349,0.13392328971864,0.452996012758929,6.4070053204087,-0.543639852520413,116.097042712314,0.201160223490198,5.50746575136748,0.447001934520241,120.773042134588,0.192227961520128,0.485259011419539,6.58692975477427,0.0792761900568355,0.440690272355776,118.377271253895
39,13,0.105398038816544,12.0343107184662,94.7947185968339,0.157717309413476,0.0903330385421487,10.8241853687533,0.271655619218814,88.4482658399626,0.126515121958411,11.2004895565971,1.404949858016,90.1617194615818,0.293448167526771,0.0941316275501873,9.08822141535423,0.0789910982805509,0.176657947366271,90.1217878894889
40,8,0.602940833384293,1.37841310703647,150.785454133,0.656133102429048,0.42518510235356,1.42647747472971,0.213580053543924,152.009257204938,0.604709448700618,1.60227966589807,1.71809286755756,151.200118760201,0.525622829635037,0.487639453189148,1.53891263002208,0.705420927860231,0.374209855951262,155.747099529282
41,23,0.136852721816276,4.49636414871782,136.110457037857,0.72672802113456,0.100603341000842,3.3511917045915,0.756800368981111,123.026191436176,0.0682778608883889,6.05982246166214,2.14510204950233,123.608652333543,0.756270710400536,0.0654409876861215,3.3511075516521,0.472916122247546,0.247582680674018,124.298466286663
42,23,0.0710708248992024,5.1449461697587,137.826090287652,0.0908870124305837,0.155057012677955,4.83113293754274,-0.260913027747073,139.168544046167,0.0698835334327005,5.56605729605909,0.825956313302627,138.859735574405,0.406012769407731,0.350643698833792,4.80744700676984,0.0339308948384224,0.320031993953747,133.932629120024
43,22,0.248746552677499,1.48184839457315,151.401923325758,0.0297992812312962,0.284684419777039,9.6135036095983,-0.810487595155169,92.4564983603739,0.126150147655989,6.6654012328906,0.204238509926012,99.2260296709648,0.203402506483357,0.369271123877349,10.4724381038851,0.0194577557511231,0.495112325557583,93.1476373997759
44,26,0.124336292116782,7.61349739897304,118.427673067517,0.128065709562646,0.150451325176456,7.78282911455238,-0.0803743140335366,119.90292814445,0.104297958011301,8.37583269399382,0.926578020125006,119.550945164258,0.195849685770425,0.234729689535796,6.63618503222906,0.209312167919314,0.198159874051868,126.125553695587
45,10,0.154255091564312,6.4777296665761,120.913141121222,0.191324325540418,0.168680952157431,5.88513786313252,0.0628973373051279,123.288769848808,0.150628799683544,6.61023190192916,0.952695059903987,122.762066564294,0.217789004724532,0.0941956631324264,6.4541730618998,0.0517216544271487,0.257104601908749,118.695072011565
46,20,0.565494595486243,0.497345604260442,154.626051142533,0.321136456675303,0.569741964090278,0.624361949199966,-0.279056604829797,156.510934254342,0.540778794451119,0.499139313598098,0.693148134535409,156.563897881236,0.101590684554119,0.631962332658729,1.21213860895629,0.6295331176709,0.46412047241213,158.255454941229
47,16,0.433419106394276,1.2590103958534,151.912631624116,0.0772391359527542,0.736208916900019,4.26050172823912,-0.810094484381946,127.144580279609,0.362517713881763,2.47179369347914,0.0559743392038938,124.27885920812,0.096728436359774,0.741498159177345,4.34346772096957,0.101666152207566,0.662413506743335,131.847195593883
48,21,0.2923967322936,3.23384427624341,137.9012747053,0.539593546926635,0.27711236547563,2.77098588568247,0.321390083584605,137.205095608511,0.350439611309115,3.68142778864025,2.01830285563233,132.341297700478,0.702617863978987,0.0995216502765515,2.99619584572796,0.448480225634199,0.576355942404848,134.231764062372
49,11,0.639967456357389,0.921886148339552,152.469050827076,0.0566160639157312,0.660143776517893,3.89148447797169,-0.84202222077208,129.5179518064,0.147032123101606,2.92211697021605,0.0811529462098272,127.474209875635,0.0396667308011743,0.577163275310133,4.05111162916692,0.151014034420208,0.664060358557142,132.827584423996
50,24,0.114487190826469,11.8587475677232,96.4319910282365,0.20039398852249,0.0927898052577567,10.1477587986561,0.367019547285711,83.9082778123074,0.117167278895018,11.8877919204044,1.48655401956095,86.3616046723316,0.323262807252854,0.122343926028087,8.18300378593016,0.259550501407118,0.150163247886283,90.3337645428111
51,15,0.135935152801708,2.79825762837928,146.237442038904,0.0455651732700894,0.228710375672544,5.94928974759156,-0.66774163102946,123.529861639435,0.0607268521436948,8.52526737472911,0.355816982335927,115.300797243202,0.0684149180540265,0.363659654876895,5.89438279680333,0.0451907992838827,0.177691409669299,126.914667181934
52,24,0.155920794211488,8.69872388551815,108.72702155064,0.340413022467094,0.159788807035925,6.55477718710328,0.361102668518087,104.329884121723,0.168366066280206,8.65291372834661,1.34214858069816,105.122244431244,0.403212298872778,0.215189142831502,6.48783839115123,0.376400660423396,0.147405902309674,108.336362945553
53,15,0.216770560433437,4.49545462830721,132.85200250393,0.269006969047851,0.218024699295667,4.12900750135528,0.104679578487337,134.64763866895,0.21481395187657,4.53441994430374,0.945527530376378,134.777712457884,0.23862427883512,0.168984803291794,4.00723209910569,0.407571187020325,0.30723132739611,137.75148919655
54,22,0.242959163346028,5.6632740786816,121.67376291391,0.234662597968021,0.284289904580766,5.86138820518383,-0.0956297664410625,123.086565995825,0.232670859548591,6.01289185773073,0.740149105207336,120.645889130571,0.104144783815927,0.0175708808311439,8.44743531474567,0.0944899835545011,0.301957021030137,108.839967405738
55,12,0.380081985528655,2.52802326670754,143.656437780158,0.370651502873976,0.422729575115362,2.56210424763363,-0.0656406784661012,145.588859913136,0.393076438513848,2.5688751169452,1.18466604417612,145.178153597894,0.313460735378787,0.535439116478589,2.55808904384159,0.559850654202634,0.283059122090724,148.092938446195
56,22,0.595900540913712,1.22362870620977,150.823533767882,0.047614164407234,0.834807271541729,8.33556510474282,-0.892082937998827,83.8636872264256,0.199541630227499,5.99226099632448,0.0240855426654542,74.0886464432166,0.0733312168372728,0.850674640406531,9.36012830465442,0.0379413724422869,0.221810429148747,83.6576094673522
57,25,0.0879520602460311,6.43227038933794,125.773839759821,0.0968034346063803,0.116680758472469,6.26404685908533,-0.0931091130421419,127.913106865157,0.0869375459944719,6.73892424271027,0.901431456922564,127.306136251712,0.126445114262222,0.0803907857439675,5.84582565019226,0.0593134087193068,0.215988021185011,129.408375592892
58,14,0.118902725570927,4.18859629733927,135.908315052517,0.0575233177110538,0.136044181834077,6.99599068702333,-0.405651074212053,126.200874770449,0.102589618164029,5.27927907277236,0.691216296220025,132.994659323561,0.0444495431084918,0.201725204028553,6.51190655130682,0.166741732780125,0.171294487971916,130.15434727638
59,13,0.351385335123684,1.07251277070404,152.686951876337,0.0330545794474193,0.521931708799608,5.4453950151077,-0.880881455461449,112.764577436581,0.168344020543506,3.63435079130806,0.105611960368393,115.845257508675,0.0446621884505831,0.586853352537125,5.51955263390837,0.0507091712671317,0.505970700823066,117.650882465373
60,19,0.254906687666294,1.29283831056949,152.207107509719,0.0764234744351877,0.469901939586175,3.26007779082458,-0.720227276733645,140.401155759934,0.228171615630418,1.99423648353968,0.389177430992115,147.875031155626,0.248005111796124,0.514764549503534,3.57647029774579,0.0431601396599967,0.589914568017172,141.934048925156
61,26,0.17823693853643,2.60711816393302,145.000839509422,0.181869907184824,0.218973553477378,2.59932247423868,-0.0925639306457886,147.050680663754,0.168555533975639,2.73903684058366,0.773224201378632,146.20286235144,0.360820494635609,0.258480091331006,2.36598982417053,0.126745581162976,0.320535601493805,150.128315840589
62,18,0.491983234043959,1.99096261937432,142.731998755354,0.130797192840908,0.871463731479631,6.2640277533145,-0.738995725230774,108.045590467721,0.311698722178336,3.53363472103675,0.207464710501345,118.302154458302,0.132506286844043,0.522956929898833,6.74743756845039,0.108695618529936,0.906428801199297,108.859313666314
