SubjectNumber,Age,AlphaPos,AlphaNeg,Beta,AsymmIdx,MeanRiskAll_sim,MeanRiskBlockEqEV1_sim,MeanRiskBlockEqEV2_sim,MeanRiskBlockEqEV3_sim,MeanRiskOverallEqEV_sim,MeanRiskBlockUnEqEV1_sim,MeanRiskBlockUnEqEV2_sim,MeanRiskBlockUnEqEV3_sim,MeanRiskOverallUnEqEV_sim,MeanTestBlock1_sim,MeanTestBlock2_sim,MeanTestBlock3_sim,MeanTestBlocks2and3_sim,UsableData_sim,MeanRiskEq040_sim,MeanRiskEq080_sim
1,27,0.578841285093794,0.162882136186875,2.25824593648525,0.560800882070999,0.626212121212121,0.511428571428571,0.605714285714286,0.592142857142857,0.569761904761905,0.66875,0.7525,0.75375,0.725,0.582142857142857,0.707857142857143,0.692857142857143,0.700357142857143,0.87,0.548333333333333,0.598333333333333
2,12,0.227491035670378,0.604963340951626,4.91346954534833,-0.453445036607271,0.358939393939394,0.304285714285714,0.292142857142857,0.321428571428571,0.305952380952381,0.43375,0.465,0.45625,0.451666666666667,0.676428571428571,0.762142857142857,0.728571428571428,0.745357142857143,0.96,0.354166666666667,0.241666666666667
3,19,0.0682876194244688,0.624720459901475,2.53048410443998,-0.802924030868765,0.361969696969697,0.362857142857143,0.328571428571429,0.330714285714286,0.340714285714286,0.40625,0.39125,0.4,0.399166666666667,0.632142857142858,0.637142857142857,0.632857142857143,0.635,0.7,0.393333333333333,0.270555555555555
4,11,0.735605817631787,0.194576395616178,5.20260331919184,0.581638107362287,0.796363636363636,0.697142857142858,0.738571428571429,0.729285714285714,0.721666666666667,0.895,0.94625,0.94,0.927083333333333,0.691428571428571,0.819285714285714,0.82,0.819642857142857,1,0.657083333333333,0.807777777777777
5,12,0.296740094631335,0.221847257555346,4.47901039410548,0.144417014337499,0.609090909090909,0.510714285714286,0.551428571428572,0.542857142857143,0.535,0.63375,0.7925,0.79,0.73875,0.682857142857143,0.777142857142857,0.804285714285714,0.790714285714286,1,0.519166666666667,0.556111111111111
6,23,0.147092494336634,0.156783936653278,11.877736767642,-0.0318927081151817,0.62969696969697,0.412142857142857,0.509285714285714,0.533571428571429,0.485,0.78125,0.93375,0.93375,0.882916666666667,0.809285714285714,0.921428571428572,0.950714285714286,0.936071428571428,1,0.493333333333334,0.473888888888889
7,10,0.210398137335747,0.0982859576139241,5.27465945684201,0.363193898085686,0.693787878787879,0.6,0.637142857142857,0.669285714285714,0.635476190476191,0.62625,0.88125,0.88,0.795833333333333,0.682142857142857,0.792857142857143,0.817857142857143,0.805357142857143,1,0.590416666666667,0.695555555555556
8,22,0.0912721339313258,0.382245519259825,2.28438133607529,-0.614493215548689,0.423181818181818,0.422857142857143,0.382142857142857,0.389285714285714,0.398095238095238,0.46875,0.4775,0.455,0.467083333333333,0.614285714285715,0.648571428571429,0.66,0.654285714285714,0.76,0.43375,0.350555555555556
9,19,0.142611501218279,0.182627572860874,6.505371440752,-0.12303586755648,0.517878787878788,0.454285714285714,0.416428571428571,0.408571428571428,0.426428571428571,0.64125,0.69875,0.69375,0.677916666666667,0.649285714285714,0.830714285714286,0.848571428571429,0.839642857142857,0.99,0.474583333333333,0.362222222222222
10,16,0.175167528165505,0.28971300938289,7.61777144020792,-0.246397669864726,0.44893939393939303,0.375714285714286,0.312857142857143,0.32,0.336190476190476,0.585,0.6625,0.69125,0.64625,0.73,0.848571428571429,0.89,0.869285714285714,1,0.390416666666667,0.263888888888889
11,10,0.191197767504683,0.289357608022123,5.10452338782012,-0.204263328466222,0.493181818181818,0.426428571428571,0.423571428571428,0.394285714285714,0.414761904761905,0.60625,0.71125,0.57375,0.630416666666667,0.726428571428572,0.802857142857143,0.798571428571429,0.800714285714286,1,0.457916666666667,0.357222222222222
12,25,0.132725955193275,0.142282117654196,6.74267188649777,-0.0347486616010054,0.573030303030304,0.517142857142857,0.453571428571428,0.475,0.481904761904762,0.64875,0.74625,0.8025,0.7325,0.701428571428572,0.830714285714286,0.862857142857143,0.846785714285714,1,0.499166666666667,0.458888888888889
13,14,0.708262848092886,0.0864126211036061,3.08076324359535,0.782520980065035,0.709242424242424,0.552142857142857,0.688571428571429,0.705714285714286,0.648809523809524,0.73875,0.84375,0.8625,0.815,0.59,0.695,0.720714285714286,0.707857142857143,0.89,0.591666666666666,0.725
14,27,0.087721397551352,0.339767098843878,4.68798588098406,-0.589596453279761,0.341060606060606,0.352142857142857,0.249285714285714,0.282857142857143,0.294761904761905,0.42125,0.40375,0.44125,0.422083333333333,0.682857142857143,0.757142857142857,0.768571428571429,0.762857142857143,0.98,0.352083333333333,0.218333333333333
15,8,0.143725717992386,0.0481530560647977,3.13741782648765,0.498088766708015,0.636969696969697,0.524285714285714,0.596428571428572,0.623571428571429,0.581428571428572,0.63125,0.76875,0.8025,0.734166666666667,0.592142857142857,0.664285714285714,0.677857142857143,0.671071428571428,0.85,0.53,0.65
16,27,0.04458899293668,0.371352517409347,15.2387750275717,-0.785599696940152,0.0915151515151516,0.153571428571428,0.0228571428571429,0.0235714285714286,0.0666666666666666,0.2325,0.115,0.0575,0.135,0.865714285714287,0.860714285714286,0.872857142857143,0.866785714285714,1,0.114583333333333,0.00277777777777778
17,9,0.235351032860476,0.191464879212305,2.12915335822064,0.102822206030333,0.568333333333334,0.55,0.513571428571429,0.542857142857143,0.535476190476191,0.56625,0.65625,0.655,0.625833333333333,0.638571428571429,0.643571428571429,0.657857142857143,0.650714285714286,0.73,0.527916666666667,0.545555555555556
18,13,0.165741680216193,0.365741465635654,5.62684559144498,-0.376305038043881,0.409393939393939,0.462857142857143,0.300714285714286,0.287857142857143,0.35047619047619,0.4575,0.55,0.53,0.5125,0.642857142857143,0.802857142857143,0.796428571428571,0.799642857142857,1,0.405,0.277777777777778
19,9,0.247560523325698,0.216641838962058,4.23568689570446,0.0666060470077374,0.591060606060606,0.507142857142857,0.540714285714286,0.495714285714286,0.51452380952381,0.685,0.72125,0.76875,0.725,0.647142857142857,0.785714285714286,0.766428571428572,0.776071428571429,1,0.500416666666667,0.533333333333334
20,17,0.0625251653934287,0.576899628630747,11.3809370009824,-0.804433090559625,0.109242424242424,0.113571428571428,0.0457142857142857,0.055,0.0714285714285714,0.21875,0.165,0.1425,0.175416666666667,0.689285714285715,0.847857142857143,0.835714285714286,0.841785714285714,1,0.117083333333333,0.0105555555555556
21,20,0.145091858016435,0.406489155324886,6.42267401389082,-0.473905538780206,0.354848484848485,0.278571428571429,0.242857142857143,0.286428571428571,0.269285714285714,0.55125,0.44125,0.52125,0.504583333333333,0.707142857142857,0.797857142857143,0.813571428571428,0.805714285714286,1,0.34625,0.166666666666666
22,8,0.350743850453938,0.305712553177177,6.6345404093915,0.0685975443725979,0.568484848484849,0.525,0.402857142857143,0.466428571428572,0.464761904761905,0.68125,0.7375,0.83125,0.75,0.735,0.833571428571429,0.895000000000001,0.864285714285714,1,0.510833333333333,0.403333333333333
23,26,0.0729468723063747,0.16383088963297401,8.51657672757188,-0.383836795238731,0.424545454545454,0.447857142857143,0.315,0.233571428571429,0.332142857142857,0.525,0.62875,0.605,0.58625,0.732142857142857,0.829285714285715,0.864285714285715,0.846785714285714,1,0.41625,0.22
24,11,0.152346627666578,0.129785920656174,9.66911850261144,0.079964921256076,0.664090909090909,0.499285714285714,0.57,0.56,0.543095238095238,0.775,0.91625,0.93625,0.875833333333333,0.684285714285714,0.906428571428572,0.919285714285715,0.912857142857143,1,0.527916666666667,0.563333333333333
25,24,0.0249777381365626,0.711242730399718,8.13156893685645,-0.932146037215664,0.133333333333333,0.115714285714286,0.0735714285714286,0.082857142857142893,0.0907142857142856,0.34,0.15375,0.13,0.207916666666667,0.747857142857143,0.754285714285714,0.769285714285714,0.761785714285714,0.99,0.140833333333333,0.0238888888888889
26,18,0.0596824761133661,0.545774443673429,13.1935063284977,-0.802851452637184,0.126060606060606,0.220714285714286,0.0428571428571429,0.0342857142857143,0.0992857142857141,0.31875,0.10375,0.09625,0.172916666666667,0.822857142857143,0.830714285714286,0.853571428571429,0.842142857142857,1,0.145416666666667,0.0377777777777777
27,18,0.308617406091815,0.735551427227525,3.66476754750448,-0.408874511010367,0.388030303030303,0.405,0.328571428571429,0.359285714285714,0.364285714285714,0.43125,0.4375,0.42,0.429583333333333,0.638571428571429,0.694285714285714,0.692142857142857,0.693214285714286,0.87,0.424583333333333,0.283888888888889
28,20,0.0613285988565098,0.337644758659782,7.22451795313471,-0.692567948705671,0.271363636363636,0.31,0.173571428571428,0.157857142857143,0.213809523809524,0.50375,0.29125,0.32125,0.372083333333333,0.737142857142857,0.809285714285714,0.798571428571428,0.803928571428571,1,0.29125,0.110555555555555
29,17,0.0461999774026545,0.522219469884327,5.26433596874811,-0.837444064860331,0.238636363636364,0.237142857142857,0.195714285714286,0.187857142857143,0.206904761904762,0.34375,0.28375,0.255,0.294166666666667,0.693571428571429,0.730714285714286,0.741428571428571,0.736071428571428,0.98,0.270416666666667,0.122222222222222
30,21,0.148048476762564,0.603218881511687,8.55052134290121,-0.605870067075324,0.256212121212121,0.259285714285714,0.137857142857143,0.150714285714286,0.182619047619047,0.42375,0.38875,0.3425,0.385,0.824285714285714,0.827857142857143,0.836428571428572,0.832142857142857,1,0.2575,0.0827777777777777
31,14,0.0943113182870583,0.0105088661195691,3.56207756326519,0.799487738376756,0.663181818181818,0.564285714285714,0.654285714285715,0.642857142857143,0.620476190476191,0.62375,0.77875,0.81125,0.737916666666667,0.539285714285714,0.605714285714286,0.616428571428572,0.611071428571428,0.58,0.535,0.734444444444445
32,16,0.040858874427684,0.65177209991827,4.16315431967717,-0.882018344714467,0.271515151515152,0.269285714285714,0.214285714285714,0.225714285714286,0.236428571428572,0.39625,0.3025,0.3,0.332916666666667,0.679285714285714,0.715714285714286,0.701428571428571,0.708571428571429,0.95,0.285833333333333,0.170555555555555
33,17,0.157566516993391,0.318711639987392,3.86703971263334,-0.338342459405509,0.466212121212121,0.453571428571429,0.395,0.36,0.402857142857143,0.5975,0.58125,0.5525,0.577083333333333,0.613571428571429,0.73,0.725,0.7275,0.92,0.451666666666667,0.337777777777778
34,15,0.0530086830611197,0.598485754155838,10.3509883002078,-0.83727049677489,0.127575757575758,0.131428571428571,0.0635714285714286,0.0585714285714286,0.0845238095238094,0.35,0.1575,0.10125,0.202916666666667,0.730714285714286,0.811428571428572,0.79,0.800714285714286,1,0.137083333333333,0.0144444444444444
35,21,0.597473100114174,0.570623344908585,2.0391888629074,0.0229859061038966,0.520151515151515,0.501428571428571,0.452142857142857,0.492857142857143,0.482142857142857,0.58125,0.5925,0.58625,0.586666666666667,0.63,0.670714285714286,0.662857142857143,0.666785714285714,0.81,0.49,0.471666666666667
36,25,0.200971699431861,0.435517096081419,2.41427076214251,-0.368498861728452,0.467575757575757,0.443571428571429,0.402142857142857,0.432857142857143,0.426190476190476,0.57875,0.505,0.53625,0.54,0.595714285714286,0.633571428571429,0.642142857142857,0.637857142857143,0.73,0.455,0.387777777777778
37,21,0.504147151319449,0.057442666416243,2.70022393784541,0.795428390607758,0.701969696969697,0.597857142857143,0.66,0.673571428571429,0.643809523809524,0.73625,0.8375,0.8375,0.80375,0.575714285714286,0.657857142857143,0.700714285714285,0.679285714285714,0.93,0.577916666666667,0.731666666666666
38,9,0.133923157513912,0.452995790676326,6.40700296738862,-0.54364002754771,0.325757575757576,0.279285714285714,0.224285714285714,0.211428571428571,0.238333333333333,0.53375,0.48125,0.42125,0.47875,0.747142857142857,0.802857142857143,0.775714285714285,0.789285714285714,0.99,0.3125,0.139444444444444
39,13,0.157717229888804,0.0903330118241808,10.8241899760355,0.271655522684765,0.73969696969697,0.573571428571429,0.674285714285714,0.647857142857143,0.631904761904762,0.83625,0.97125,0.9775,0.928333333333333,0.767142857142857,0.887142857142858,0.913571428571429,0.900357142857143,1,0.551666666666667,0.738888888888889
40,8,0.656133366988535,0.425183186945991,1.42647391278041,0.213582395647415,0.553636363636364,0.519285714285715,0.52,0.537142857142857,0.525476190476191,0.56125,0.62,0.6275,0.602916666666667,0.582857142857143,0.600714285714286,0.623571428571429,0.612142857142857,0.59,0.505416666666667,0.552222222222222
41,23,0.72672791829949,0.100603320068537,3.35119203721022,0.756800383200846,0.73530303030303,0.595714285714286,0.687857142857143,0.724285714285714,0.669285714285715,0.795,0.87,0.8875,0.850833333333333,0.632142857142857,0.729285714285714,0.735714285714286,0.7325,0.96,0.605,0.755
42,23,0.0908870336688441,0.155057019590503,4.83113200054852,-0.260912939635062,0.488333333333333,0.462857142857143,0.435714285714286,0.341428571428571,0.413333333333333,0.65125,0.605,0.6025,0.619583333333333,0.655,0.724285714285714,0.797142857142857,0.760714285714286,1,0.455416666666667,0.357222222222222
43,22,0.0297993344238728,0.284684715577679,9.61349963717441,-0.810487467178537,0.200757575757576,0.343571428571428,0.115714285714286,0.0835714285714286,0.180952380952381,0.33,0.2025,0.17375,0.235416666666667,0.724285714285715,0.81,0.825,0.8175,1,0.254583333333333,0.0827777777777776
44,26,0.128065619266984,0.150451249754293,7.78283172339548,-0.080374415258843,0.575454545454546,0.502142857142857,0.446428571428571,0.428571428571429,0.459047619047619,0.73375,0.80625,0.7975,0.779166666666667,0.707142857142857,0.846428571428571,0.867142857142857,0.856785714285714,1,0.48375,0.426111111111111
45,10,0.191324082536842,0.168680795184495,5.8851402034854,0.0628971682152437,0.603484848484849,0.473571428571428,0.529285714285714,0.493571428571429,0.498809523809524,0.7925,0.81625,0.75125,0.786666666666666,0.674285714285714,0.842857142857143,0.807142857142857,0.825,1,0.502916666666667,0.493333333333333
46,20,0.321141153276201,0.56974664373592,0.624351722227921,-0.279053648836025,0.499393939393939,0.507857142857143,0.485,0.477142857142857,0.49,0.5275,0.5125,0.5075,0.515833333333333,0.543571428571429,0.540714285714286,0.535714285714286,0.538214285714286,0.28,0.501666666666667,0.474444444444444
47,16,0.0772385645030358,0.736207004283236,4.26050064087116,-0.810095309466661,0.290909090909091,0.322142857142857,0.231428571428571,0.229285714285714,0.260952380952381,0.38,0.335,0.315,0.343333333333333,0.705,0.7,0.697142857142857,0.698571428571429,0.91,0.322916666666667,0.178333333333333
48,21,0.539602272310454,0.277115371357098,2.77097200170577,0.321392470198919,0.630151515151515,0.521428571428572,0.566428571428572,0.595,0.560952380952381,0.76125,0.725,0.7675,0.75125,0.655,0.720714285714286,0.707142857142857,0.713928571428571,0.93,0.532083333333333,0.599444444444445
49,11,0.0566159181595588,0.660140931216631,3.89149303915178,-0.842021968234183,0.293787878787879,0.339285714285714,0.236428571428571,0.218571428571429,0.264761904761905,0.345,0.32875,0.36,0.344583333333333,0.685,0.682142857142857,0.675,0.678571428571429,0.88,0.305833333333333,0.21
50,24,0.200394324572586,0.0927898686839945,10.147743027248,0.36701997707776,0.761666666666667,0.575714285714286,0.725,0.687857142857143,0.662857142857143,0.8575,0.96875,0.9775,0.934583333333334,0.761428571428571,0.864285714285715,0.922857142857143,0.893571428571429,1,0.589166666666667,0.761111111111111
51,15,0.0455646822729769,0.228711366801327,5.94926360590443,-0.66774581720307,0.319242424242424,0.367142857142857,0.224285714285714,0.196428571428571,0.262619047619048,0.505,0.36625,0.38375,0.418333333333334,0.707857142857143,0.747857142857143,0.767142857142857,0.7575,0.98,0.335833333333333,0.165
52,24,0.340412637697704,0.159788813667285,6.55478160614358,0.361102159015171,0.741363636363636,0.585714285714286,0.678571428571429,0.716428571428572,0.660238095238096,0.75625,0.935,0.95875,0.883333333333333,0.726428571428571,0.845,0.860714285714286,0.852857142857143,1,0.600416666666667,0.74
53,15,0.269007074756737,0.218024690528118,4.12900729525831,0.104679792700585,0.590303030303031,0.507142857142857,0.531428571428572,0.471428571428571,0.503333333333333,0.7275,0.71875,0.78125,0.7425,0.635714285714286,0.785714285714286,0.782142857142857,0.783928571428571,0.98,0.497083333333333,0.511666666666666
54,22,0.234662521738762,0.284289855410489,5.86138975678709,-0.0956298416905697,0.538333333333334,0.512857142857143,0.433571428571429,0.430714285714286,0.459047619047619,0.635,0.67375,0.7225,0.677083333333334,0.699285714285714,0.840714285714286,0.835714285714286,0.838214285714286,1,0.4775,0.434444444444444
55,12,0.370651888229112,0.422729942399613,2.5621036494658598,-0.0656405934192242,0.531969696969697,0.494285714285714,0.518571428571428,0.455,0.489285714285714,0.57875,0.5975,0.64375,0.606666666666667,0.61,0.667142857142857,0.677142857142857,0.672142857142857,0.82,0.500416666666667,0.474444444444444
56,22,0.0476136915798593,0.834807164226329,8.33556505142679,-0.892083938708908,0.12969696969697,0.158571428571428,0.075,0.075,0.102857142857143,0.22125,0.16,0.14875,0.176666666666667,0.749285714285714,0.79,0.761428571428572,0.775714285714286,1,0.167083333333333,0.0172222222222222
57,25,0.0968034415045008,0.116680748326682,6.26404603281155,-0.0931090346217172,0.570757575757576,0.502857142857143,0.469285714285714,0.431428571428571,0.467857142857143,0.72375,0.77875,0.75,0.750833333333333,0.684285714285714,0.810714285714286,0.808571428571428,0.809642857142857,0.99,0.493333333333333,0.433888888888889
58,14,0.0575233597650878,0.136044257372136,6.99598919862266,-0.405651000763125,0.436515151515151,0.415714285714286,0.367857142857143,0.285,0.356190476190476,0.5325,0.6225,0.57625,0.577083333333333,0.635714285714286,0.787857142857143,0.825000000000001,0.806428571428571,1,0.425833333333333,0.263333333333333
59,13,0.0330546090971993,0.521931888796168,5.44539651165235,-0.880881393609868,0.218636363636364,0.215,0.179285714285714,0.157142857142857,0.183809523809524,0.2925,0.28,0.26625,0.279583333333333,0.699285714285714,0.729285714285714,0.727142857142857,0.728214285714286,0.95,0.2425,0.105555555555555
60,19,0.0764234344975581,0.469901478498124,3.26007927087928,-0.720227166363316,0.354242424242424,0.336428571428571,0.300714285714286,0.291428571428571,0.30952380952381,0.475,0.40875,0.41375,0.4325,0.627857142857143,0.679285714285714,0.667857142857143,0.673571428571429,0.84,0.363333333333333,0.237777777777778
61,26,0.181870093219615,0.218974206844412,2.5993200468327,-0.092564902678849,0.517575757575757,0.454285714285714,0.475714285714286,0.467857142857143,0.465952380952381,0.55875,0.6525,0.6125,0.607916666666667,0.606428571428572,0.67,0.7,0.685,0.87,0.461666666666667,0.471666666666667
62,18,0.130797213696336,0.871463649722869,6.26402588832188,-0.738995667754357,0.218333333333333,0.187857142857143,0.16,0.158571428571428,0.168809523809524,0.37625,0.27875,0.26,0.305,0.755714285714286,0.754285714285714,0.765,0.759642857142857,1,0.237916666666667,0.0766666666666666
